"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";"RT @uncle_dallas: Populating A ListView With Data Using #Kendo Listview And #EntityFramework In #aspnetmvc 5 https://t.co/sSLZdk6Ae9 via @C…";FALSE;0;NA;2017-11-09 15:31:38;FALSE;NA;"928646266581635075";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"TheKlingon_";1;TRUE;FALSE;NA;NA
"2";"RT @Akihito_ABE: <U+3076><U+3057><U+3057><U+3001><U+6298><U+308A><U+7573><U+3093><U+3067><U+3082><U+304B><U+308F><U+3044><U+3044><U+3002>#Kendo #<U+5263><U+9053> https://t.co/FOH8J2nE1r";FALSE;0;NA;2017-11-09 15:10:06;FALSE;NA;"928640848752918531";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"seafood_on";1;TRUE;FALSE;NA;NA
"3";"Populating A ListView With Data Using #Kendo Listview And #EntityFramework In #aspnetmvc 5 https://t.co/sSLZdk6Ae9 via @CsharpCorner";FALSE;0;NA;2017-11-09 15:06:02;FALSE;NA;"928639824671551488";NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"uncle_dallas";1;FALSE;FALSE;NA;NA
"4";"<U+3076><U+3057><U+3057><U+3001><U+6298><U+308A><U+7573><U+3093><U+3067><U+3082><U+304B><U+308F><U+3044><U+3044><U+3002>#Kendo #<U+5263><U+9053> https://t.co/FOH8J2nE1r";FALSE;3;NA;2017-11-09 14:16:20;FALSE;NA;"928627319614226433";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"Akihito_ABE";1;FALSE;FALSE;NA;NA
"5";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 3<U+56DE><U+6226> <U+5C71><U+672C><U+9078><U+624B>(<U+5343><U+8449>)<U+4E94><U+6BB5><U+5BFE><U+897F><U+6751><U+9078><U+624B>(<U+718A><U+672C>)<U+4E94><U+6BB5> https://t.co/9XfvDvQ9Uf @YouTube<U+3055><U+3093><U+304B><U+3089>
#kendo #<U+5263><U+9053> #<U+5168><U+65E5><U+672C>";FALSE;2;NA;2017-11-09 13:45:56;FALSE;NA;"928619666825650178";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"windfirm";0;FALSE;FALSE;NA;NA
"6";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+5199><U+771F>(490<U+679A>)<U+3092><U+5168><U+5263><U+9023><U+516C><U+5F0F>Flickr<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> | https://t.co/FRyHCA6r6P #kendo #<U+5263><U+9053> https://t.co/pQcnboRaz5";FALSE;0;NA;2017-11-09 12:49:59;FALSE;NA;"928605587734085637";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"umi11757";17;TRUE;FALSE;NA;NA
"7";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 3<U+56DE><U+6226> <U+7560><U+4E2D><U+9078><U+624B>(<U+6771><U+4EAC>)<U+932C><U+58EB><U+516D><U+6BB5><U+5BFE><U+4F50><U+85E4><U+9078><U+624B>(<U+5343><U+8449>)<U+56DB><U+6BB5> https://t.co/kAcZ6ifLTG @YouTube<U+3088><U+308A>
#<U+5263><U+9053> #kendo";FALSE;2;NA;2017-11-09 12:28:11;FALSE;NA;"928600099994812416";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"windfirm";0;FALSE;FALSE;NA;NA
"8";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 4<U+56DE><U+6226> 3<U+8A66><U+5408><U+76EE> <U+5C71><U+672C><U+9078><U+624B>(<U+5E83><U+5CF6>)<U+932C><U+58EB><U+516D><U+6BB5><U+5BFE><U+897F><U+6751><U+9078><U+624B>(<U+718A><U+672C>)<U+4E94><U+6BB5> https://t.co/Eu011NEmjW @YouTube<U+3088><U+308A>
#<U+5263><U+9053>
#kendo";FALSE;2;NA;2017-11-09 12:26:58;FALSE;NA;"928599795513442304";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"windfirm";0;FALSE;FALSE;NA;NA
"9";"<U+4ECA><U+591C><U+306F><U+30DC><U+30B9><U+3068><U+7A3D><U+53E4><U+3002><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
@<U+9AD8><U+69FB><U+5E02><U+7ACB><U+5357><U+5E73><U+53F0><U+5C0F><U+5B66><U+6821>
#kendo #<U+5263><U+9053> https://t.co/BlHPrWywrm";FALSE;3;NA;2017-11-09 12:21:27;FALSE;NA;"928598408515829762";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"matukuvo";0;FALSE;FALSE;NA;NA
"10";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 10:50:42;FALSE;NA;"928575570291466240";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"LuWIwWatWIvqQks";9;TRUE;FALSE;NA;NA
